name,loc,tweet,time,rt,rt_name
 Todd Plower, United States, RT @KingOfDonair: Anyone else eat #ketchup on their #Donairplate?#halifax #donair #tgif #friyay #fridayvibes #KOD #frenchfries #foodporn #,23-02-2019 03:41,,
,,,,,
 ottawahoops," ottawa, ontario", RT @NPACanada: Quebec Session Game 2 Final Score: CTA 115 over Halifax 82Leading Scorers U0001f4ca: @CanadaTopflight:Ankit Choudhary 16ptsCedr,23-02-2019 03:40,,
,,,,,
 helen murphy, , Funeral planans announced for seven Syrian children killed in Halifax fire ,23-02-2019 03:40,,
,,,,,
 RCN Canuck," Lake Cowichan , B.C.n"," @SpectorsHockey @Potsy_70 32 years and counting, I much prefer the west coast although I grew up in Halifax. I b ",23-02-2019 03:39,,
,,,,,
 Jan   immigrant kids are incarcerated, North America , @pmhenry5 @HoarseWisperer @jlittleboy University Of King's College  has just over 900 students. It's renowned for h ,23-02-2019 03:39,,
,,,,,
 Todd," Nova Scotia, Canada", @steveo @PrestonLacy @ImprovKCMO Steveo please tell me your coming back to halifax nova scotia again....Best show I've ever been to,23-02-2019 03:39,,
,,,,,
 brody, , RT @Freedom_BBall: Freedom falls 62-68 to Potomac Falls in Regional final. Kids fought hard to overcome a slow start to cut a 14pt deficit,23-02-2019 03:38,,
,,,,,
 Erica Dath," Ottawa, Ontario"," I made a BIG mistake this morning and we missed the flight home from Sydney, NS. U0001f629 Drove straight to Halifax and ",23-02-2019 03:36,,
,,,,,
 Rommel Angus," Whitchurch-Stouffville, ON"," RT @JustinTrudeau: In times of tragedy, Canadians are there for each other. ",23-02-2019 03:36,,
,,,,,
 FlyPastRush," Caledon, Ontario", RT @AirShowAtlantic: Performer Announcement: CF-18 Demo Team!Air Show Atlantic is  thrilled to announce that the @CF18Demo will be perfor,23-02-2019 03:36,,
,,,,,
 morningstar., $$$, RT @PotomacBlue: Panthers punch their tickets to state by pulling out a hard fought victory tonight vs PH-Roanoke 67-64.  Regional Champion,23-02-2019 03:35,,
,,,,,
 Ottawa_Biker U0001f1e8U0001f1e6," Ottawa, Ontario", @joeboughner @nurdgrrl @fdpree I actually took one of these  Mtl &lt;-&gt; Halifax. The single seats are hard to sleep in.,23-02-2019 03:32,,
,,,,,
 MGGordon," Woodbridge, VA", RT @PotomacBlue: Panthers punch their tickets to state by pulling out a hard fought victory tonight vs PH-Roanoke 67-64.  Regional Champion,23-02-2019 03:30,,
,,,,,
 StephensGerardMalone, Canada, RT @InannaPub: March 10! In celebration of #InternationalWomensDay: 'Women and the Power of Words' @WFNS #Halifax featuring authors Dian Da,23-02-2019 03:30,,
,,,,,
 Maritime Labels," Bedford, Nova Scotia, Canada", Got news that this is arriving in #halifax port Monday then headed our way after all the Customs shenanigans. Any i ,23-02-2019 03:30,,
,,,,,
 BirdOwl, United States," Most mortgages go to first-time buyers, Halifax research shows  via @BBCWorld ",23-02-2019 03:30,,
,,,,,
 European Union U0001f310," Brussels, Belgium","  Most mortgages go to first-time buyers, Halifax research shows - BBC News  ",23-02-2019 03:30,,
,,,,,
 STEVE GIGUxc8REU0001f397, ," RT @PCoquereau: Les commentaires racistes, haineux, violents suite xe0 l oxf9 des Syriens ont perdu la vie xe0 Halifax.  Ceux qui les on",23-02-2019 03:30,,
,,,,,
 Paulette O'Connor, Canada," RT @Grade5_6OatSJAM: Expressing our grief through kind words, drawings and cards for the family  #BarhoFamily #Halifax @SJAMschool @HRCEFin",23-02-2019 03:28,,
,,,,,
 Anita Kirkbride Social Media Strategist," Halifax, NS", RT @charlenegagnon: We are hiring! Looking for someone very special with experience in trauma counselling to come work on my team!  ,23-02-2019 03:26,,
,,,,,
 StephensGerardMalone, Canada," RT @Sarah_Emsley: ""While researching the life of Fanny Palmer Austen, I came upon the story of Louisa Berkeley, who married a naval officer",23-02-2019 03:25,,
,,,,,
 timbulger," Edmonton, AB", @TorrensJonathan @TAGGARTnTORRENS Sorry bahd can make it as my darling wife is flying out to Halifax that night U0001f926,23-02-2019 03:22,,
,,,,,
 H EX U0001f48e," Halifax, Nova Scotia, Canada"," RT @AndyFillmoreHFX: ""The bill also takes steps to address the over-representation of Indigenous persons in the criminal justice system and",23-02-2019 03:21,,
,,,,,
 helen murphy, , @andersoncooper      funeral in Halifax NS Canada tomorrow for 7 children from Syria victims of house fire,23-02-2019 03:20,,
,,,,,
 Andrew Day, K, RT @MikeSavageHFX: My heart will be in Halifax tomorrow when our community honours the lives of the seven Barho children. The @ummahmasjid,23-02-2019 03:19,,
,,,,,
 Aimee Morgan, Daytona Beach FL, Matt and Megans Wedding. #Wedding #Love @ Estate on the Halifax ,23-02-2019 03:18,,
,,,,,
 Freedom Basketball," South Riding, Virginia", Freedom falls 62-68 to Potomac Falls in Regional final. Kids fought hard to overcome a slow start to cut a 14pt def ,23-02-2019 03:18,,
,,,,,
 Christian Mallett," Rochester, NY"," @RocKnighthawks , Halifax is on Line 1...they said  don want this team either #maybenextyear #yipeeforexpansionteam",23-02-2019 03:18,,
,,,,,
 Dan Dudziak, , Have fun in Halifax or wherever.... Bandits rule the 90. ,23-02-2019 03:18,Your final from Rochester... ,23-02-2019 02:56
,,,,,
 worldnewshill, Everywhere," Most mortgages go to first-time buyers, Halifax researchxa0shows  ",23-02-2019 03:17,,
,,,,,
 sic, , RT @wateamos: Dalhousie University student has improved the #technology of 3-D printed #microscopes that can clip onto a #CellPhone. She,23-02-2019 03:16,,
,,,,,
 Prakay Cc,  , RT @HonAhmedHussen: Nous sommes profondxe9ment attristxe9s d'apprendre la nouvelle de l'incendie qui a coxfbtxe9 la vie xe0 sept enfants rxe9fugixe9s syr,23-02-2019 03:16,,
,,,,,
 cbstyles, halifax , RT @kylierpeacock: We're hiring! We need an amazing research assistant to join our team at @Dal_OT at #DalhousieU! A great opportunity if y,23-02-2019 03:15,,
,,,,,
 Big Guy, United States Minor Outlying Islands, @Shumagic @CBCNews Agree. He went to a funeral for Syrians kids lost in fire in Halifax. Sadly but the right thing ,23-02-2019 03:15,,
,,,,,
 Justice For Missing, Canada, Funeral arrangements have been made for the seven children who died in a house fire in Halifax earlier this week.A ,23-02-2019 03:14,,
,,,,,
 AFL Canada, Canada, RT @NovaScotiaAFL: Sunday indoor footy with the Halifax Dockers AFC. 11-1pm. Sackville High School. Guys and Girls. All skill levels. See y,23-02-2019 03:13,,
,,,,,
 Laura Woodworth," Halifax, Nova Scotia", Thanks to @timberloungehfx for donating $5 from every bullseye today to the Barho family. U0001f497Our team managed 9! ,23-02-2019 03:12,,
,,,,,
 cbstyles, halifax ," RT @afpns: New career opportunity! Development Officer, Community Giving, QEII Foundation, Halifax, NS:  ",23-02-2019 03:12,,
,,,,,
 AJS," Hollister, NC"," RT @tonybruton: Joshua Norman, 6 junior guard (2020) for Northwest Halifax finished with 33 points, 6 rebounds and 4 assists in a win ov",23-02-2019 03:11,,
,,,,,
 Wise Old Owl, Fire And Smoke coughing, RT @Free_Media_Hub: Funeral plans announced for seven Syrian children killed in Halifax fire | CTV News ,23-02-2019 03:11,,
,,,,,
 Aaron," Nova Scotia, Canada", What laserdisc goodness did I discover in Halifax. Find out tonight in the Movie Club ,23-02-2019 03:11,,
,,,,,
 Tony White U0001f5ef," Halifax, NS", Found a great parking spot in downtown Halifax. Can't believe my good luck! #halifax ,23-02-2019 03:10,,
,,,,,
 Double Shunt Guy, Leduc Alberta Canada, Funeral plans announced for seven Syrian children killed in Halifax fire | CTV News ,23-02-2019 03:10,,
,,,,,
 WX Halifax," Halifax, NS, Canada", Fri 23:00: Temp -5.3 C; Windchill -10; Wind NW 12 km/h; Humidity 71%; Press 102.5 kPa / rising.,23-02-2019 03:09,,
,,,,,
 Bill Chisholm, , RT @globalhalifax: A Halifax-area woman has filed a human rights complaint against the Halifax Regional Municipality over a lack of accessi,23-02-2019 03:09,,
,,,,,
 Bill Chisholm, , RT @KingOfDonair: Anyone else eat #ketchup on their #Donairplate?#halifax #donair #tgif #friyay #fridayvibes #KOD #frenchfries #foodporn #,23-02-2019 03:08,,
,,,,,
 OBHS, Ontario," RT @fernpub: February 23rd at Halifax North Memorial Library! Plan to join the children who created a book-in-a-day as  they launch ""R Is f",23-02-2019 03:07,,
,,,,,
 HWHS Student Government," Halifax, Nova Scotia", RT @HalifaxWestHS: Halifax west Internal Awards Application... ,23-02-2019 03:07,,
,,,,,
 Jacob Freedman," Boca Raton, FL"," RT @MorrisonHC: A patient was staying at @sentarahealth Halifax on her birthday. To make her day special, our team made her a milkshake and",23-02-2019 03:07,,
,,,,,
 Randy McDonald," Toronto, Ontario, Canada"," Out of Maritime solidarity, Charlottetown supports the bid of Halifax to finally host a CFL football team. ",23-02-2019 03:05,,
,,,,,
 oyetoro stephven," Lagos, Nigeria"," Latest News: Most mortgages go to first-time buyers, Halifax research showsAspiring homeowners now need a xa332,000 ",23-02-2019 03:04,,
,,,,,
 news rss," Dail Bho Dheas, Scotland"," Most mortgages go to first-time buyers, Halifax research shows -BBC NEWS  ",23-02-2019 03:03,,
,,,,,
 fowlieU0001f31fcommissions open!U0001f31f," Halifax, NS"," my last night in Halifax, stay sleazy ",23-02-2019 03:02,,
,,,,,
 UJNHUY, ," RT @Rob_Scanlan: Immaculate 3 bed, 2 bath with views of Springfield Lake. #JustListed #Halifax #Lakeview #RLPA #REalEstate #NovaScotia #You",23-02-2019 02:59,,
,,,,,
 Pat Henry," New Jersey, USA"," @HoarseWisperer @jlittleboy My grandson got accepted into his first choice college!  Kings College in Halifax, Cana ",23-02-2019 02:58,,
,,,,,
 KeJahn Rainey," Virginia, USA", RT @PotomacBlue: Panthers punch their tickets to state by pulling out a hard fought victory tonight vs PH-Roanoke 67-64.  Regional Champion,23-02-2019 02:58,,
,,,,,
 Natasha Henry, Toronto," RT @fernpub: February 23rd at Halifax North Memorial Library! Plan to join the children who created a book-in-a-day as  they launch ""R Is f",23-02-2019 02:58,,
,,,,,
 Masud Hasan, ," RT @Rob_Scanlan: If your dream home has a Private beach, ocean views from every room and 200 ft of water frontage I have the place for you.",23-02-2019 02:58,,
,,,,,
 Demiah Symonds, , @halsey come to halifax please U0001f64fU0001f60d,23-02-2019 02:57,,
,,,,,
 Juel Breen Bell, BDN action packed, @ianfroese I was often asked where my manager was from. Halifax I would say.  Then silence.,23-02-2019 02:57,,
,,,,,
 Dipa, ," RT @Rob_Scanlan: Immaculate 3 bed, 2 bath with views of Springfield Lake. #JustListed #Halifax #Lakeview #RLPA #REalEstate #NovaScotia #You",23-02-2019 02:57,,
,,,,,
 Sara Seck," Halifax, Nova Scotia"," RT @ZannLenore:  in the middle of a crisis sounding the alarm about need for urgent global change to avoid drought, floods, extreme",23-02-2019 02:56,,
,,,,,
 Henry , PE9, RT @HashtagOliverK: Baguette when (OT) is tweeting from the Halifax account ,23-02-2019 02:56,,
,,,,,
 ReadNewsFast, ," Most mortgages go to first-time buyers, Halifax research shows / Read more:  ",23-02-2019 02:56,,
,,,,,
 summer, ," RT @Rob_Scanlan: Immaculate 3 bed, 2 bath with views of Springfield Lake. #JustListed #Halifax #Lakeview #RLPA #REalEstate #NovaScotia #You",23-02-2019 02:55,,
,,,,,
 olivia joy. U0001f973, , RT @PotomacBlue: Panthers punch their tickets to state by pulling out a hard fought victory tonight vs PH-Roanoke 67-64.  Regional Champion,23-02-2019 02:55,,
,,,,,
 Jackie Paige," London, England"," Latest News Most mortgages go to first-time buyers, Halifax research shows  ",23-02-2019 02:53,,
,,,,,
 Zulqarnain Mubashar, ," Maximum mortgages pass to first-time consumers, Halifax analysisxa0presentations  ",23-02-2019 02:52,,
,,,,,
 InterSpaceReporter, , Image copyright Getty Images First-time buyers now make up the majority of home purchases bought with a mortgage in ,23-02-2019 02:51,,
,,,,,
 carmelo vii, ," RT @Rob_Scanlan: Immaculate 3 bed, 2 bath with views of Springfield Lake. #JustListed #Halifax #Lakeview #RLPA #REalEstate #NovaScotia #You",23-02-2019 02:49,,
,,,,,
 Sarah Barlow," Bakewell, England"," Most mortgages go to first-time buyers, Halifax research shows - BBC News ",23-02-2019 02:48,,
,,,,,
 reader-spot, ," Most mortgages go to first-time buyers, Halifax researchxa0shows  ",23-02-2019 02:47,,
,,,,,
 Platinum Group," Halifax, Nova Scotia", Want details on this beauty? Contact us anytime! Take a 3d Tour here: ,23-02-2019 02:47,,
,,,,,
 Jason Rice, Kitchener/Waterloo, WU0001f3c0| The schedule is posted for the Subway AUS Basketball Championships next weekend at Scotiabank Centre in Halifax ,23-02-2019 02:47,,
,,,,,
