name,loc,tweet,time,rt,rt_name
 WX Halifax," Halifax, NS, Canada", Mon 19:00: Temp -0.7 C; Windchill -6; Wind WSW 18 km/h gust 32 km/h; Humidity 88%; Press 98.8 kPa  rising.,2019-02-25 23:04:36,,
,,,,,
 Bob Fitzgerald, Canada, RT @4PawShop:  are big red flags Halifax anthropology professor condemns hateful comments on Barho tragedy ,2019-02-25 23:04:33,,
,,,,,
 Halifax Jobs," Halifax, Nova Scotia"," 8 Month Limited Term Appointment - Assistant Professor, Department of Sociology: Saint Mary's University (Halifax, ",2019-02-25 23:04:12,,
,,,,,
 TownofAmherstNS," Nova Scotia, Canada", 25 Feb 19 regular council is announced that Shelley E. Carroll has been named Amherst Adult Volunteer of the Yea ,2019-02-25 23:04:11,,
,,,,,
 Manfred Rosenberg, Canada,  are big red flags Halifax anthropology professor condemns hateful comments on Barho tragedy ,2019-02-25 23:04:05,,
,,,,,
 Dal English Dept," Halifax, NS", RT @DAL_FASS: Thursday-Robbie Shilliam will deliver the 2019 MacKay History Lecture! The event will also feature the poetry of Halifax Poet,2019-02-25 23:04:02,,
,,,,,
 Jason Haslam #commitcuriosity," Halifax, Nova Scotia", RT @DAL_FASS: Thursday-Robbie Shilliam will deliver the 2019 MacKay History Lecture! The event will also feature the poetry of Halifax Poet,2019-02-25 23:03:40,,
,,,,,
 AtlanticTopEmployers, Atlantic Canada," End User Support Analyst: NTT DATA Canada, Inc. (Halifax NS): ""NTT DATA Services, we know that with the right peopl ",2019-02-25 23:03:07,,
,,,,,
 annie Laing, canada, RT @CBCNews: 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all agree with th,2019-02-25 23:02:28,,
,,,,,
 The Homestretch CBC," xdcT: 51.054086,-114.083504", RT @cbcasithappens: Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire ,2019-02-25 23:01:29,,
,,,,,
 CBC Toronto, Toronto, Seven children in the Barho family died in a Halifax house fire on Feb. 19. ,2019-02-25 23:00:13,,
,,,,,
 Halifax Black Film Festival," Halifax, Nova Scotia"," Did you know? #HBFF19 features great #womenfilms &amp; #Films showcasing #Women: March 1 - 3, 2019.""This program is ",2019-02-25 23:00:00,,
,,,,,
 Brew Noser," xdcT: 31.777468,35.229909", @halfcup_awesome Wait. That mine!  How to find parking in Halifax. Drive to where you going and park in front. That spot is for you.,2019-02-25 22:59:23,,
,,,,,
 sandyc, , RT @CBCNews: 'The support [Kawthar Barho] really needs is family around her in a difficult time like this. And I think we all agree with th,2019-02-25 22:59:17,,
,,,,,
 Alison Haskins," Halifax, England", RT @grahammynott: *Hear hear* Completely agree @HOT_CEO_Halifax. It seems odd having to convince we already have #socialprescribing in #Cal,2019-02-25 22:58:55,,
,,,,,
 Laura Golding, Elland, Give us a call to book your slot! Only xa310! #carboot #halifax #charity @OvergateHospice ,2019-02-25 22:58:43,,
,,,,,
 Shibuya Yuuri, Canada, RT @McCreaImmLaw: Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire | CBC News #cdnimm ht,2019-02-25 22:58:19,,
,,,,,
 HudsonBelle, Yorkshire and The Humber, RT @Calderdale: The @letouryorkshire trophies are visiting Halifax again! Both trophies and the fab @Welcome2Yorks branded car will be on d,2019-02-25 22:58:11,,
,,,,,
 TMJ-FLD Jobs," Daytona Beach, FL"," Want to work at Halifax Health? We're hiring in #DaytonaBeach, FL! Click the link in our bio for details on this jo ",2019-02-25 22:56:58,,
,,,,,
 Ammer01, , @Devin_Heroux In hotel at Halifax airport - will finally get out to Saskatoon tomorrow (better than Air Canada or ,2019-02-25 22:56:56,,
,,,,,
 Barleigh, , RT @cbcasithappens: Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire ,2019-02-25 22:56:39,,
,,,,,
 McCrea Immigration," Vancouver, BC, Canada", Relatives arriving in Canada today to support refugee parents whose 7 children died in Halifax fire | CBC News ,2019-02-25 22:56:27,,
,,,,,
 Il Cassana, ," RT @ElDiarioCrema: Juan Diego Gutixe9rrez (@jdiegoguti), ex @Universitario, es presentado como nuevo jugador del Halifax Wanderers FC (@HfxWa",2019-02-25 22:56:19,,
,,,,,
